id,repo,provenance,evidence,tier,nQuestions,real,paraphrase,synthetic,realPct2,paraphrasePct2,syntheticPct2,recordChars,paraphraseChars,syntheticChars
apache_airflow__48941,apache/airflow,human,none,empty,4,0.2500,0.5000,1.5000,0,25,75,63,65,1291
apache_airflow__48987,apache/airflow,human,none,substantive,3,0.3333,0.3333,1.3333,0,0,66.6667,394,436,937
apache_airflow__49085,apache/airflow,human,none,empty,3,0,0,1,0,0,0,54,61,537
apache_airflow__49137,apache/airflow,human,none,trivial,3,0,0,0.6667,0,0,0,138,97,1015
apache_airflow__49199,apache/airflow,human,none,trivial,4,0,0,0.2500,0,0,0,103,132,2472
apache_airflow__49610,apache/airflow,human,none,trivial,3,0.3333,0,0.6667,0,0,33.3333,82,102,615
apache_airflow__49809,apache/airflow,human,none,empty,3,0.3333,0.3333,1.6667,0,0,66.6667,55,55,1670
apache_airflow__50065,apache/airflow,human,none,trivial,3,0.3333,0,0.6667,0,0,0,170,114,951
apache_airflow__50123,apache/airflow,human,none,empty,4,0.2500,0,1.5000,0,0,50,54,65,1419
apache_airflow__50511,apache/airflow,human,none,substantive,3,0,0,0.6667,0,0,0,117,109,634
apache_airflow__50532,apache/airflow,human,none,empty,3,0.3333,0.3333,1.6667,0,0,66.6667,54,58,805
apache_airflow__50670,apache/airflow,human,none,empty,4,0,0,1.5000,0,0,75,49,62,1113
apache_airflow__50960,apache/airflow,agent,agent-trailer,substantive,4,1.2500,0.5000,0.7500,50,25,0,4842,2954,1944
apache_airflow__51297,apache/airflow,human,none,trivial,3,0,0,1.6667,0,0,66.6667,110,86,1052
apache_airflow__51404,apache/airflow,human,none,empty,3,0.3333,0,1.3333,0,0,33.3333,48,55,1212
apache_airflow__51650,apache/airflow,human,none,empty,3,0,0,1,0,0,33.3333,39,41,544
apache_airflow__52262,apache/airflow,human,none,substantive,3,1,0,1.3333,0,0,33.3333,199,161,1186
apache_airflow__52302,apache/airflow,human,none,empty,3,0,0,2,0,0,100,49,49,1439
apache_airflow__52404,apache/airflow,human,none,substantive,4,0,0,0.5000,0,0,25,264,274,840
apache_airflow__52564,apache/airflow,human,none,empty,3,0.3333,0.3333,1.6667,0,0,66.6667,60,60,722
apache_airflow__52591,apache/airflow,human,none,substantive,3,0.6667,1.3333,1.6667,33.3333,66.6667,66.6667,650,624,1438
apache_airflow__52737,apache/airflow,human,none,empty,3,0,0,2,0,0,100,66,81,1684
apache_airflow__52800,apache/airflow,human,none,empty,3,0.3333,0.6667,1.6667,0,0,66.6667,58,73,949
apache_airflow__53153,apache/airflow,agent,agent-trailer,substantive,3,0.3333,0.3333,0.3333,0,0,0,783,313,1462
apache_airflow__53314,apache/airflow,human,none,empty,3,0,0.3333,1.3333,0,0,33.3333,52,69,982
apache_airflow__53350,apache/airflow,human,none,substantive,3,0,0,0,0,0,0,238,265,540
apache_airflow__53390,apache/airflow,human,none,substantive,3,0.6667,0.3333,1.6667,0,0,66.6667,208,163,796
apache_airflow__53420,apache/airflow,human,none,substantive,4,0.2500,0,1.5000,0,0,50,848,922,1411
apache_airflow__53514,apache/airflow,human,none,empty,3,0.3333,1,1,0,0,33.3333,62,73,1259
apache_airflow__54487,apache/airflow,human,none,substantive,3,0.3333,0.3333,1.3333,0,0,33.3333,183,205,872
apache_airflow__54679,apache/airflow,human,none,substantive,4,1.5000,1.5000,1.7500,50,50,75,375,385,1456
apache_airflow__54731,apache/airflow,human,none,substantive,3,0,0,2,0,0,100,152,160,934
apache_airflow__55090,apache/airflow,human,none,substantive,3,0,0,0.3333,0,0,0,234,249,510
apache_airflow__55114,apache/airflow,human,none,empty,3,0,0,2,0,0,100,49,60,1458
apache_airflow__55118,apache/airflow,human,none,empty,3,0,0,2,0,0,100,34,33,1232
apache_airflow__55486,apache/airflow,human,none,empty,3,0,0,1.3333,0,0,66.6667,60,71,1169
apache_airflow__55499,apache/airflow,human,none,substantive,3,0.3333,1.3333,1.3333,0,33.3333,33.3333,402,382,1028
apache_airflow__55972,apache/airflow,human,none,empty,3,0,0,0.6667,0,0,0,68,64,1711
apache_airflow__56007,apache/airflow,human,none,trivial,3,0,0,0.3333,0,0,0,208,178,999
apache_airflow__56077,apache/airflow,human,none,trivial,3,0.6667,1.3333,1.6667,33.3333,66.6667,66.6667,135,156,838
apache_airflow__56608,apache/airflow,human,none,substantive,3,0,0,1.3333,0,0,66.6667,182,200,714
apache_airflow__56692,apache/airflow,human,none,empty,3,0.3333,0.6667,2,0,0,100,58,69,1074
apache_airflow__56695,apache/airflow,human,none,substantive,3,0.6667,0.6667,1.6667,33.3333,33.3333,66.6667,484,488,1092
apache_airflow__56936,apache/airflow,human,none,substantive,3,0.6667,1.3333,1.3333,0,66.6667,33.3333,1018,881,1493
apache_airflow__57010,apache/airflow,human,none,substantive,3,0.6667,1,2,0,33.3333,100,294,233,1255
apache_airflow__57103,apache/airflow,human,none,trivial,3,0,0,1,0,0,33.3333,171,179,1163
apache_airflow__57228,apache/airflow,human,none,empty,3,0,0.3333,1.3333,0,0,33.3333,37,48,554
apache_airflow__57667,apache/airflow,agent,agent-trailer,substantive,3,0.6667,0.6667,1,33.3333,33.3333,33.3333,750,475,468
apache_airflow__57741,apache/airflow,agent,agent-trailer,substantive,3,0.6667,0,1.3333,0,0,66.6667,907,907,1415
apache_airflow__58292,apache/airflow,human,none,substantive,3,0.3333,0,1.3333,0,0,33.3333,1144,1155,935
apache_airflow__58733,apache/airflow,human,none,empty,4,1.2500,1,1.2500,25,0,50,74,83,921
apache_airflow__58838,apache/airflow,agent,agent-trailer,trivial,3,0.3333,0,1.6667,0,0,66.6667,164,94,848
apache_airflow__58888,apache/airflow,human,none,trivial,3,0,0,1.3333,0,0,33.3333,193,218,1426
apache_airflow__59507,apache/airflow,human,none,substantive,3,2,2,2,100,100,100,1524,1516,831
apache_airflow__59804,apache/airflow,human,none,empty,4,0,0,2,0,0,100,44,48,1210
apache_airflow__59805,apache/airflow,agent,agent-trailer,substantive,4,1.7500,1.5000,1.2500,75,75,50,2657,2786,2098
apache_airflow__60146,apache/airflow,human,none,empty,3,0,0,2,0,0,100,67,82,1107
apache_airflow__60440,apache/airflow,agent,agent-trailer,substantive,3,0.3333,0.3333,1.6667,0,0,66.6667,419,474,1430
apache_airflow__60545,apache/airflow,human,none,substantive,3,1,1.3333,1.3333,33.3333,33.3333,66.6667,277,279,1191
apache_airflow__60633,apache/airflow,human,none,empty,3,0,0,0,0,0,0,51,51,972
apache_airflow__60647,apache/airflow,human,none,empty,3,0,0,0.6667,0,0,33.3333,71,68,901
apache_airflow__60676,apache/airflow,human,none,empty,3,0,0.3333,1.3333,0,0,33.3333,66,81,864
apache_airflow__60735,apache/airflow,human,none,empty,3,0,0,2,0,0,100,45,56,940
apache_airflow__61560,apache/airflow,agent,agent-trailer,substantive,3,2,2,1.6667,100,100,66.6667,697,731,791
apache_airflow__61706,apache/airflow,human,none,empty,3,0,0,1,0,0,33.3333,50,65,695
apache_airflow__61854,apache/airflow,agent,agent-trailer,substantive,3,2,1.6667,1.6667,100,66.6667,66.6667,747,782,1108
apache_airflow__61861,apache/airflow,human,none,empty,3,0,0,1.3333,0,0,33.3333,51,62,1045
apache_airflow__62401,apache/airflow,human,none,substantive,3,0.6667,0.3333,2,0,0,100,375,308,1849
apache_airflow__62509,apache/airflow,human,none,empty,3,1,1,2,0,0,100,55,66,1620
apache_airflow__62570,apache/airflow,agent,agent-trailer,substantive,3,1.3333,1.6667,1.3333,33.3333,66.6667,66.6667,648,682,1144
apache_airflow__62580,apache/airflow,agent,agent-trailer,substantive,3,1,1,1.6667,33.3333,33.3333,66.6667,679,615,1210
apache_airflow__62627,apache/airflow,human,none,empty,4,0,0,0.7500,0,0,0,63,75,911
apache_airflow__62657,apache/airflow,agent,agent-trailer,substantive,3,0.6667,0.6667,1.3333,33.3333,33.3333,66.6667,1072,1017,1539
apache_airflow__62662,apache/airflow,agent,agent-trailer,substantive,3,1.3333,1,1.6667,66.6667,33.3333,66.6667,633,638,692
apache_airflow__62665,apache/airflow,agent,agent-trailer,substantive,3,1.3333,1.3333,2,66.6667,66.6667,100,753,678,813
apache_airflow__62682,apache/airflow,agent,agent-trailer,substantive,4,0,0,0.5000,0,0,0,1169,1099,1718
apache_airflow__62702,apache/airflow,agent,agent-trailer,trivial,3,0,0,1.3333,0,0,66.6667,91,102,1294
apache_airflow__62723,apache/airflow,agent,agent-trailer,substantive,3,2,2,0.6667,100,100,33.3333,584,646,896
apache_airflow__62737,apache/airflow,human,none,substantive,3,1,1,2,0,0,100,575,597,1022
apache_airflow__62742,apache/airflow,agent,agent-trailer,empty,3,0,0,1.6667,0,0,66.6667,79,90,744
apache_airflow__62755,apache/airflow,agent,agent-trailer,substantive,3,0.3333,0.3333,1.3333,0,0,33.3333,548,570,1141
apache_airflow__62820,apache/airflow,agent,agent-trailer,empty,4,1,0.5000,0.5000,25,0,0,73,84,1766
apache_airflow__62831,apache/airflow,agent,agent-trailer,substantive,4,1.7500,1.2500,1.7500,75,50,75,1089,830,1196
apache_airflow__62835,apache/airflow,agent,agent-trailer,substantive,3,0.6667,1,1,0,33.3333,33.3333,753,670,798
apache_airflow__62907,apache/airflow,agent,agent-trailer,substantive,3,0.6667,0.3333,1.3333,0,0,33.3333,299,308,1056
apache_airflow__62983,apache/airflow,agent,agent-trailer,substantive,3,1.6667,1.6667,2,66.6667,66.6667,100,1206,1339,1448
apache_airflow__63016,apache/airflow,human,none,trivial,4,0,0,0.7500,0,0,0,115,149,1072
apache_airflow__63048,apache/airflow,agent,agent-trailer,substantive,3,1.3333,1.3333,2,66.6667,66.6667,100,589,569,721
apache_airflow__63210,apache/airflow,human,none,substantive,3,0,0,2,0,0,100,219,235,847
apache_airflow__63300,apache/airflow,agent,agent-trailer,substantive,3,0.3333,0,1.3333,0,0,33.3333,930,1045,1440
apache_airflow__63315,apache/airflow,agent,agent-trailer,substantive,4,0.7500,0,1.7500,25,0,75,509,596,1522
apache_airflow__63317,apache/airflow,agent,agent-trailer,substantive,3,1.6667,1.6667,1.3333,66.6667,66.6667,66.6667,329,371,1081
apache_airflow__63319,apache/airflow,agent,agent-trailer,substantive,3,1,1.3333,2,33.3333,66.6667,100,531,554,1870
apache_airflow__63320,apache/airflow,agent,agent-trailer,substantive,3,1.3333,1.3333,1.3333,66.6667,66.6667,66.6667,285,288,811
apache_airflow__63347,apache/airflow,agent,agent-trailer,substantive,3,0.3333,0.3333,0.6667,0,0,33.3333,435,502,1610
apache_airflow__63387,apache/airflow,human,none,trivial,3,0,0,2,0,0,100,75,86,982
apache_airflow__63422,apache/airflow,agent,agent-trailer,empty,4,0,0,1.5000,0,0,75,71,82,1361
apache_airflow__63440,apache/airflow,agent,agent-trailer,substantive,3,1.3333,1,2,66.6667,33.3333,100,1531,1632,2118
apache_airflow__63475,apache/airflow,agent,agent-trailer,empty,3,0.6667,0.3333,2,33.3333,0,100,102,96,1575
apache_airflow__63476,apache/airflow,agent,agent-trailer,substantive,3,1.6667,2,1.6667,66.6667,100,66.6667,776,698,1047
apache_airflow__63520,apache/airflow,agent,agent-trailer,substantive,3,1.3333,2,0.6667,66.6667,100,0,5168,5438,1453
apache_airflow__63531,apache/airflow,human,none,empty,3,0.3333,0.3333,0.6667,0,0,33.3333,52,65,799
apache_airflow__63561,apache/airflow,agent,agent-trailer,substantive,4,0,0,0,0,0,0,967,655,1679
apache_airflow__63598,apache/airflow,agent,agent-trailer,substantive,4,0.5000,0.5000,0.5000,25,25,25,1656,1529,2383
apache_airflow__63606,apache/airflow,agent,agent-trailer,substantive,3,2,2,2,100,100,100,359,400,905
apache_airflow__63901,apache/airflow,agent,agent-trailer,substantive,3,0.3333,0.6667,1.3333,0,33.3333,66.6667,747,851,1431
apache_airflow__64164,apache/airflow,agent,agent-trailer,substantive,3,0.3333,0,1.6667,0,0,66.6667,323,340,614
apache_airflow__64189,apache/airflow,agent,agent-trailer,substantive,3,1,0.6667,1.6667,0,0,66.6667,961,617,942
apache_airflow__64246,apache/airflow,human,none,trivial,3,0.3333,0,1.3333,0,0,66.6667,119,130,644
apache_airflow__64285,apache/airflow,human,none,substantive,3,1.3333,1.3333,2,66.6667,66.6667,100,706,665,1068
apache_airflow__64384,apache/airflow,agent,agent-trailer,substantive,3,1.6667,1.3333,2,66.6667,33.3333,100,540,548,970
apache_airflow__64425,apache/airflow,human,none,empty,3,0,0,0,0,0,0,66,81,1226
apache_airflow__64471,apache/airflow,human,none,trivial,3,0.3333,0,2,0,0,100,161,105,1122
apache_airflow__64725,apache/airflow,human,none,substantive,4,1,1,1.5000,50,50,50,505,526,1648
apache_airflow__64804,apache/airflow,agent,agent-trailer,substantive,3,1.3333,1.3333,1.3333,66.6667,33.3333,66.6667,670,547,901
apache_airflow__64994,apache/airflow,agent,agent-trailer,substantive,3,0,0.3333,1.3333,0,0,33.3333,525,566,1066
apache_airflow__65161,apache/airflow,human,none,substantive,3,0.3333,0.6667,2,0,0,100,276,302,828
apache_airflow__65422,apache/airflow,agent,agent-trailer,substantive,3,2,2,2,100,100,100,1354,880,837
apache_airflow__65493,apache/airflow,human,none,empty,3,0,0,2,0,0,100,47,59,1300
apache_airflow__65550,apache/airflow,human,none,substantive,3,1.3333,0.6667,1.6667,33.3333,0,66.6667,543,605,1190
apache_airflow__65690,apache/airflow,human,none,empty,3,0,0,1.6667,0,0,66.6667,56,67,1281
apache_airflow__65852,apache/airflow,agent,agent-trailer,substantive,3,1,1.6667,1.3333,33.3333,66.6667,66.6667,798,866,1209
apache_airflow__66013,apache/airflow,agent,agent-trailer,substantive,4,0.5000,1,1,0,25,25,2205,2258,1519
apache_airflow__66186,apache/airflow,human,none,empty,3,0,0,1.3333,0,0,33.3333,49,62,1035
apache_airflow__66198,apache/airflow,agent,agent-trailer,substantive,3,2,2,2,100,100,100,1118,862,1088
apache_airflow__66433,apache/airflow,agent,agent-trailer,substantive,3,2,1.3333,1.3333,100,33.3333,33.3333,1315,765,970
apache_airflow__66571,apache/airflow,human,none,substantive,4,1.5000,1.5000,1.2500,75,75,50,1335,943,980
apache_airflow__66699,apache/airflow,human,none,empty,3,0,0,0.6667,0,0,0,73,85,1627
apache_airflow__66808,apache/airflow,human,none,substantive,3,0.6667,0.6667,1.3333,33.3333,33.3333,66.6667,456,465,781
apache_airflow__67065,apache/airflow,human,none,substantive,3,2,2,1.3333,100,100,66.6667,1127,1240,1495
apache_airflow__67076,apache/airflow,agent,agent-trailer,substantive,4,2,1.7500,2,100,75,100,774,780,1396
apache_airflow__67112,apache/airflow,human,none,substantive,3,1.6667,1.6667,1.3333,66.6667,66.6667,66.6667,532,602,1295
apache_airflow__67214,apache/airflow,human,none,empty,3,0,0,0.3333,0,0,0,65,74,1495
apache_airflow__67229,apache/airflow,agent,agent-trailer,substantive,3,2,2,2,100,100,100,1246,1151,1435
apache_airflow__67237,apache/airflow,human,none,trivial,3,0,0.3333,2,0,0,100,202,79,946
apache_airflow__67242,apache/airflow,human,none,substantive,3,0.6667,0.6667,1.3333,33.3333,33.3333,33.3333,1195,1154,1448
apache_airflow__67297,apache/airflow,agent,agent-trailer,substantive,3,1.3333,1.3333,1.6667,66.6667,66.6667,66.6667,782,813,979
apache_airflow__67317,apache/airflow,human,none,substantive,3,1.6667,1.6667,1.6667,66.6667,66.6667,66.6667,4843,4472,1521
apache_airflow__67333,apache/airflow,agent,agent-trailer,substantive,3,2,2,2,100,100,100,4664,3073,1821
apache_airflow__67389,apache/airflow,human,none,substantive,3,0.6667,1.3333,1,33.3333,66.6667,0,1414,1473,1241
apache_airflow__67662,apache/airflow,agent,agent-trailer,substantive,3,2,1.6667,2,100,66.6667,100,1247,1308,1414
apache_airflow__67667,apache/airflow,human,none,substantive,3,2,2,2,100,100,100,859,933,1385
apache_airflow__67681,apache/airflow,human,none,trivial,3,0,0,0,0,0,0,93,123,683
apache_airflow__68049,apache/airflow,human,none,substantive,4,1.5000,1.2500,2,75,50,100,535,582,1216
apache_airflow__68059,apache/airflow,agent,agent-trailer,substantive,4,1,1.5000,1,50,75,50,808,920,1293
apache_airflow__68109,apache/airflow,agent,agent-trailer,substantive,3,1.3333,1.3333,1.3333,66.6667,66.6667,33.3333,529,570,1040
apache_airflow__68133,apache/airflow,human,none,empty,4,0,0.2500,1.5000,0,0,75,56,67,1679
apache_airflow__68283,apache/airflow,human,none,substantive,4,0.7500,0.5000,0.7500,25,0,0,468,472,1435
apache_airflow__68336,apache/airflow,agent,agent-trailer,substantive,3,2,2,2,100,100,100,818,743,1334
apache_airflow__68368,apache/airflow,agent,agent-trailer,substantive,3,2,2,1.6667,100,100,66.6667,827,835,1467
apache_airflow__68385,apache/airflow,agent,agent-trailer,substantive,3,0,0,0,0,0,0,275,281,1143
apache_airflow__68492,apache/airflow,human,none,substantive,3,1.3333,1.3333,1.3333,66.6667,66.6667,33.3333,1218,1236,1443
apache_airflow__68497,apache/airflow,agent,agent-trailer,trivial,3,0.6667,1,1.3333,0,0,66.6667,179,183,1652
apache_airflow__68506,apache/airflow,human,none,substantive,3,1.3333,1.3333,2,33.3333,33.3333,100,438,489,1218
apache_airflow__68591,apache/airflow,agent,agent-trailer,substantive,3,2,2,2,100,100,100,3400,3260,2035
apache_airflow__68616,apache/airflow,agent,agent-trailer,substantive,3,0,0,1,0,0,33.3333,483,504,1255
apache_airflow__68671,apache/airflow,human,none,trivial,3,0,0,2,0,0,100,114,68,1875
apache_airflow__68702,apache/airflow,human,none,substantive,4,1.2500,0.7500,1,50,25,25,3892,4116,1633
apache_airflow__68743,apache/airflow,agent,agent-trailer,substantive,3,0,0,0,0,0,0,536,510,1261
apache_airflow__68882,apache/airflow,agent,agent-trailer,substantive,3,1.6667,1.3333,1.3333,66.6667,66.6667,33.3333,1734,1622,1571
apache_airflow__68916,apache/airflow,human,none,substantive,4,1.5000,1.2500,2,75,50,100,875,778,1235
apache_airflow__69283,apache/airflow,agent,agent-trailer,substantive,3,2,1.3333,2,100,66.6667,100,1330,1224,1601
apache_airflow__69307,apache/airflow,human,none,substantive,3,2,1.6667,1.6667,100,66.6667,66.6667,1386,1334,1045
apache_airflow__69328,apache/airflow,human,none,substantive,3,0.6667,0.3333,1,33.3333,0,33.3333,645,686,1262
apache_airflow__69772,apache/airflow,agent,agent-trailer,substantive,4,0.2500,0.2500,1,0,0,0,643,705,1401
apache_airflow__69780,apache/airflow,agent,agent-trailer,substantive,3,2,1.3333,1,100,66.6667,33.3333,1077,1047,925
apache_airflow__69830,apache/airflow,agent,agent-trailer,trivial,3,0.3333,0.6667,2,0,0,100,155,109,1099
apache_airflow__70007,apache/airflow,agent,agent-trailer,substantive,3,0.6667,0.6667,1.3333,0,33.3333,66.6667,56283,32911,1570
apache_airflow__70432,apache/airflow,human,none,empty,3,0.3333,0,2,0,0,100,78,90,1010
apache_airflow__70650,apache/airflow,human,none,substantive,3,2,1.3333,1.3333,100,66.6667,66.6667,976,1017,2076
grafana_grafana__100478,grafana/grafana,human,none,empty,3,1,1,1.6667,0,0,66.6667,59,58,850
grafana_grafana__100884,grafana/grafana,human,none,substantive,3,1,1,0.6667,33.3333,33.3333,0,3380,3193,2106
grafana_grafana__101180,grafana/grafana,human,none,substantive,4,1.2500,0.7500,0.7500,50,25,25,1182,1154,1667
grafana_grafana__101215,grafana/grafana,human,none,substantive,3,0,0,1,0,0,33.3333,188,171,790
grafana_grafana__101428,grafana/grafana,human,none,trivial,4,0.7500,0.7500,1.5000,25,25,50,172,199,868
grafana_grafana__101449,grafana/grafana,human,none,substantive,3,0.6667,0.6667,1.3333,0,0,66.6667,250,282,1905
grafana_grafana__101504,grafana/grafana,human,none,trivial,3,0.6667,1,2,0,0,100,140,85,564
grafana_grafana__101703,grafana/grafana,human,none,substantive,3,0.3333,0.3333,0.6667,0,0,0,396,354,1223
grafana_grafana__101753,grafana/grafana,human,none,empty,3,0,0,1.6667,0,0,66.6667,77,73,1591
grafana_grafana__101860,grafana/grafana,human,none,trivial,3,0.3333,0,2,0,0,100,99,56,1445
grafana_grafana__102232,grafana/grafana,human,none,substantive,3,1.3333,0.6667,1.3333,33.3333,33.3333,33.3333,307,337,820
grafana_grafana__102233,grafana/grafana,human,none,empty,3,0,0,1.6667,0,0,66.6667,31,36,1639
grafana_grafana__102325,grafana/grafana,human,none,substantive,3,2,1.3333,1.6667,100,66.6667,66.6667,1186,1087,908
grafana_grafana__102331,grafana/grafana,human,none,empty,3,0,0,2,0,0,100,72,70,1149
grafana_grafana__102359,grafana/grafana,human,none,substantive,4,0.7500,1.2500,1,25,50,25,2324,2396,1919
grafana_grafana__102444,grafana/grafana,human,none,empty,3,0,0,0.6667,0,0,0,39,39,1273
grafana_grafana__102556,grafana/grafana,human,none,substantive,3,0.3333,0.3333,1.6667,0,0,66.6667,149,172,1749
grafana_grafana__102571,grafana/grafana,human,none,substantive,3,1.3333,1,2,33.3333,0,100,458,477,1535
grafana_grafana__102905,grafana/grafana,human,none,substantive,3,1,0.6667,1.6667,0,0,66.6667,208,249,1573
grafana_grafana__103173,grafana/grafana,human,none,trivial,3,0,0,0.6667,0,0,33.3333,98,68,714
grafana_grafana__103428,grafana/grafana,human,none,trivial,2,0,0,1.5000,0,0,50,85,91,799
grafana_grafana__103473,grafana/grafana,human,none,empty,3,0.3333,0.6667,1.6667,0,0,66.6667,54,54,760
grafana_grafana__103518,grafana/grafana,human,none,empty,3,0,0.3333,0.3333,0,0,0,83,92,1091
grafana_grafana__103739,grafana/grafana,human,none,trivial,3,0,0,1,0,0,0,115,71,867
grafana_grafana__104158,grafana/grafana,human,none,empty,3,0.6667,1,1.6667,0,0,66.6667,66,75,1177
grafana_grafana__104252,grafana/grafana,human,none,substantive,4,0.5000,0.2500,0.5000,25,0,0,768,833,1620
grafana_grafana__104611,grafana/grafana,human,none,substantive,4,0.2500,0.5000,1.5000,0,0,50,808,855,1768
grafana_grafana__104778,grafana/grafana,human,none,trivial,3,0.3333,0.3333,0.6667,0,0,33.3333,191,136,952
grafana_grafana__104891,grafana/grafana,human,none,trivial,3,0.6667,0.3333,1.6667,0,0,66.6667,139,99,783
grafana_grafana__105006,grafana/grafana,human,none,empty,3,0,0,0.3333,0,0,0,41,50,1907
grafana_grafana__105011,grafana/grafana,human,none,substantive,3,1,0.3333,1.3333,0,0,66.6667,265,316,871
grafana_grafana__105280,grafana/grafana,human,none,substantive,4,0.2500,0.2500,1.2500,0,0,50,203,222,964
grafana_grafana__105383,grafana/grafana,human,none,empty,3,0.6667,0.6667,1.3333,0,0,33.3333,55,65,1385
grafana_grafana__105478,grafana/grafana,human,none,substantive,3,0.3333,0,1.6667,0,0,66.6667,551,592,1322
