id,repo,provenance,concept,question,real_score,synthetic_score,real_rationale,synthetic_rationale
apache_airflow__40854,apache/airflow,human,compatibility-verification,"What failures would tests miss if they validated only facet existence, not emitted payload contents?",0,0,"The text only names the change, 'Add AirflowRunFacet for dag runEvents,' and gives no detail about missed payload-content failures.","The text explicitly says tests cover only the new facet generation and serialization, but it does not say what failures would be missed if tests checked only existence rather than payload contents."
apache_airflow__41200,apache/airflow,human,dataset-graph-integration,Why must dataset nodes be derived only from graph-visible producers and dataset events?,0,1,The text only says 'Add button to toggle datasets on/off in dag graph' and gives no mechanism or reason about graph-visible producers or dataset events.,"The text says dataset nodes are only assembled when the toggle is enabled and that dataset queries are skipped when hidden, but it does not explain why they must come only from graph-visible producers and dataset events."
apache_airflow__41200,apache/airflow,human,conditional-data-fetching,Why should dataset event queries be disabled when datasets are hidden?,0,2,"It only says ""toggle datasets on/off in dag graph"" and gives no reason about hidden datasets or event queries.","The text explicitly says to ""Gate dataset event queries behind the toggle so dataset-related requests are skipped when datasets are hidden,"" which answers why they should be disabled."
apache_airflow__41200,apache/airflow,human,graph-controls-state,Why is dataset visibility managed as local graph state instead of derived elsewhere?,0,2,"It only says there is a button to toggle datasets on/off, with no explanation of why visibility is managed locally or derived elsewhere.","It explicitly says to avoid loading/rendering dataset-related graph elements when hidden and to gate dataset event queries behind the toggle, which explains managing visibility as local graph state."
apache_airflow__41277,apache/airflow,human,serialized-dag-test-mode,Why must these tests execute against serialized DAGs instead of in-memory DAG objects?,0,2,"The text only names ""Database Isolation Mode"" and does not explain why serialized DAGs are required instead of in-memory DAG objects.","The text says switching to serialized DAGs ""makes the test setup consistent with the serialized execution path"" and reduces custom session/dagrun management, which explains why they must run that way."
apache_airflow__41277,apache/airflow,human,dagrun-and-taskinstance-lifecycle,Why is fixture-managed DagRun creation essential for correct task instance state assertions?,0,2,"It only names files and ""Database Isolation Mode"" without explaining DagRun creation or task instance state assertions.","The text says tests now ""create dagruns through dag_maker.create_dagrun()"" and rely on the fixture for ""DAG lifecycle and dagrun creation,"" which directly explains the fixture-managed DagRun role in state assertions."
apache_airflow__41277,apache/airflow,human,branch-operator-state-semantics,What state transitions make branch operator behavior correct when downstream tasks are selectively followed?,0,0,"The text only says the files were fixed for Database Isolation Mode, with no mention of branch operator state transitions or selectively followed downstream tasks.","The text mentions branch operator tests and serialized DAGs, but it does not state any downstream state transitions or selective-follow behavior."
apache_airflow__41296,apache/airflow,human,session-lifecycle-and-identity,Why must tests commit and reload ORM objects before asserting TaskInstance state changes?,1,2,"The text only says ""Fix almost 100 tests for taskinstance for DB isolation mode,"" which hints at test changes but not why commit/reload is needed.","The text explicitly says to ""commit dag_maker.session"" and ""re-fetch task instances ... before asserting state"" to avoid ""stale in-memory state,"" which answers the mechanism."
apache_airflow__41296,apache/airflow,human,trigger-rule-evaluation-db-access,Why does trigger-rule evaluation require explicitly allowing database access in these tests?,1,2,"The text only says ""Fix almost 100 tests for taskinstance for DB isolation mode,"" which hints at database isolation but does not explain why trigger-rule evaluation needs explicit DB access.","The text explicitly says to ""temporarily allow DB access via TracebackSessionForTests around trigger rule evaluation"" because the tests ""depend on persisted dag run / task instance state"" and need to avoid stale in-memory state."
apache_airflow__41296,apache/airflow,human,dagrun-and-mapped-taskinstance-construction,Why must mapped TaskInstances be attached through the DagRun's persisted task objects?,0,2,"The text only says “Fix almost 100 tests for taskinstance for DB isolation mode,” which does not explain why mapped TaskInstances must be attached through persisted task objects.","The phrase “when creating mapped task instances in a test, build them from the task attached to the dag run’s task instances” directly states the attachment mechanism and why it is tied to persisted dag run/task instance state."
apache_airflow__41296,apache/airflow,human,serialized-dag-test-execution,Why does enabling serialized DAG creation matter for previous-date TaskInstance behavior?,0,2,"The text only says it fixes tests for taskinstance and DB isolation mode, which does not explain why serialized DAG creation matters.","The phrase ""create the DAG as `serialized=True` in the previous-dates test helper"" and the note about ""serialized DAG behavior"" directly explain the mechanism being adjusted."
apache_airflow__41396,apache/airflow,human,provider-version-source-of-truth,What single source defines each provider version without drift across packaging metadata?,0,0,"The text only says to ""Bump minimum Airflow version in providers to Airflow 2.8.0,"" which does not answer what single source defines each provider version without drift across packaging metadata.","The text says provider metadata is kept aligned across `__init__.py`, `provider.yaml`, and `PROVIDERS.rst`, but it does not identify a single source that defines each provider version without drift."
apache_airflow__41396,apache/airflow,human,bulk-provider-metadata-migration,How is the cross-provider change standardized so every package remains structurally consistent?,0,2,"The text only states ""Bump minimum Airflow version in providers to Airflow 2.8.0"" and does not explain how the change is standardized across packages.","The text explicitly says it is a ""repository-wide metadata/documentation refresh"" that updates provider files ""in one sweep"" and keeps them ""in sync across the repository,"" which explains the standardization mechanism."
apache_airflow__41396,apache/airflow,human,provider-discovery-and-release-compatibility,Why will existing provider loading and release automation still recognize every package correctly?,0,1,"The text only says “Bump minimum Airflow version in providers to Airflow 2.8.0,” which does not address package recognition by loading or release automation.","The text says it updates provider metadata and keeps provider declarations and generated documentation “in sync,” but it does not explain why loading and release automation would still recognize every package correctly."
apache_airflow__41663,apache/airflow,human,basic-auth-backend-relocation,Why must Basic Auth live under the FAB provider path instead of core modules?,1,2,"The text only says “deprecated basic auth airflow.api.auth.backend.basic_auth removed,” which hints at removal but not why it must live under the FAB provider path instead of core modules.","The text explicitly says to “switch all references to the FAB provider implementation” and “please update it to: `airflow.providers.fab.auth_manager.api.auth.backend.basic_auth`,” which directly answers the path change."
apache_airflow__41663,apache/airflow,human,configuration-and-api-contract-update,How does changing the configured backend path preserve API authentication behavior?,0,2,"The text only says the deprecated basic auth path was removed, with no explanation of preserving authentication behavior.",It explicitly says to replace `airflow.api.auth.backend.basic_auth` with `airflow.providers.fab.auth_manager.api.auth.backend.basic_auth` and that this applies wherever `api.auth_backends` is set.
apache_airflow__41663,apache/airflow,human,deprecation-removal-and-compatibility-boundary,What breaks if the deprecated backend import path remains supported?,0,0,"The text only says the deprecated backend import path was ""removed"" and does not explain what breaks if it remains supported.","The text explicitly says to update `airflow.api.auth.backend.basic_auth` to `airflow.providers.fab.auth_manager.api.auth.backend.basic_auth`, but it does not state what breaks if the deprecated path remains supported."
apache_airflow__41663,apache/airflow,human,verification-and-tooling-alignment,Why must tests and tooling reference the exact same backend module path?,0,2,"Absent: it only says the deprecated backend was removed, with no explanation of why tests and tooling must use the same module path.","Explicit: it says references were updated across tooling and tests to the same provider path, quoting ""standardized on `airflow.providers.fab.auth_manager.api.auth.backend.basic_auth`"" and ""Updated configuration tests to expect the provider backend path""."
apache_airflow__41846,apache/airflow,human,generated-api-client-layer,Why must generated OpenAPI clients define the UI's backend contract?,0,2,"It mentions ""configure flask blueprint"" and ""Add codegen to pre-commit,"" but never states that generated OpenAPI clients define the UI's backend contract.","The text says the generated client code is a ""checked-in generated API surface for the UI"" and is ""aligned with the OpenAPI spec,"" which explains the backend contract role."
apache_airflow__41846,apache/airflow,human,frontend-build-and-runtime-structure,Why does the UI need a separate Vite application structure to work reliably?,0,2,"It mentions ""Switch to react with working tests"" and ""Basic hot refresh,"" but does not explain why a separate Vite application structure is needed.","It says this is a ""dedicated UI codebase"" with ""CI support so UI changes can be validated independently,"" which directly explains the separate structure."
apache_airflow__41846,apache/airflow,human,ci-and-repo-integration,What breaks if UI-specific CI and repository rules are not integrated centrally?,0,1,"It mentions repeated CI and GitHub Actions fixes, but never explains what would break if UI-specific rules were not integrated centrally.","The text says UI checks are wired into existing workflows and selective checks are introduced, but it does not state what breaks without central integration."
apache_airflow__41846,apache/airflow,human,frontend-tooling-and-contributor-workflow,Why are dedicated UI tooling rules necessary for sustainable frontend development?,1,2,"It only lists assorted UI setup and maintenance tasks like ""add prettier,"" ""add pre-commits to ui,"" and ""update lint command,"" but does not explain why dedicated rules are necessary.","It explicitly says the UI workspace provides ""a standard frontend developer experience"" and ""CI support so UI changes can be validated independently,"" which explains why dedicated UI tooling rules help sustainability."
apache_airflow__42474,apache/airflow,human,blob-retrieval-contract,Why must all object reads go through one helper that raises on missing blobs?,1,2,"The text mentions ""handle validation for non-existent objects"" and ""Fix implicit exception"" but does not explain why all reads must go through one helper.","The text says the helper ""raises `ValueError` when the object does not exist"" and that this ""removes repeated `bucket.get_blob(...)` and missing-object validation logic""."
apache_airflow__42474,apache/airflow,human,hook-api-behavior,Why do size and metadata methods depend on a validated Blob rather than raw client calls?,1,2,"The text only mentions ""handle validation for non-existent objects"" and a ""change method to internal method,"" which hints at validation but does not explain why size and metadata methods depend on a validated Blob.","The text says the refactor uses a helper that ""retrieves the blob from the bucket"" and ""raises `ValueError` when the object does not exist,"" so size/metadata methods would rely on a validated blob rather than raw client calls."
apache_airflow__42474,apache/airflow,human,test-seam-and-regression-coverage,Why is mocking the helper the stable test boundary for these hook methods?,0,2,"It mentions refactoring and unit test expectations, but gives no explanation of why mocking the helper is the stable boundary.","The text says tests now ""mock _get_blob where appropriate instead of mocking the lower-level client/bucket/blob chain,"" which directly explains the stable boundary."
apache_airflow__42684,apache/airflow,human,scheduler-concurrency-accounting,Why must scheduler capacity ignore backfill runs to preserve correct DAG scheduling?,1,2,"The phrase ""we don't want to include backfill runs in the counts"" explains the exclusion but not the scheduling mechanism or why it preserves DAG correctness.","The text explicitly says backfill runs are separate and that including them ""could incorrectly block creation of regular scheduled runs,"" which answers why they must be ignored."
apache_airflow__42684,apache/airflow,human,dagrun-query-api-contract,Why is an explicit exclude_backfill query parameter safer than filtering counts at call sites?,1,2,"The text only says “I add a parameter” and that backfill runs should not be included, but it does not explain why an explicit parameter is safer than filtering at call sites.","The text explicitly says backfill runs are separate and that including them in scheduler counts could “incorrectly block creation of regular scheduled runs,” which explains the safety benefit of handling it via an explicit option."
apache_airflow__42684,apache/airflow,human,behavioral-test-matrix,Which scenario matrix proves backfill exclusion without masking regressions in normal run limits?,1,2,"The text only says backfill runs are excluded from active run counts and mentions adding a parameter, but it does not identify any scenario matrix or how it proves no masking of normal run limits.","The text explicitly says the expanded scheduler tests cover combinations of scheduled vs unscheduled DAGs, backfill runs vs other active runs, and max active run limits, which directly addresses the scenario matrix and the normal-limit regression concern."
apache_airflow__42758,apache/airflow,human,legacy-change-gating,Why must legacy file changes be blocked unless explicit maintainer labels are present?,1,2,"The phrase ""Include new check in selective_checks.py for checking PR labels to ping maintainers"" indicates legacy changes are gated by labels so maintainers are notified, but it does not fully explain the blocking mechanism.","The text explicitly says the check ""fails early if files under ... are changed without the `legacy api` label"" and similarly for `legacy ui`, which directly explains why changes must be blocked unless labels are present."
apache_airflow__42758,apache/airflow,human,legacy-surface-classification,How does isolating legacy paths into separate file groups prevent incorrect CI behavior?,1,2,The text only says it adds a selective check and removes a path from a legacy file list; it does not explain how that prevents incorrect CI behavior.,"The text explicitly says the check ""fails early if files under `airflow/api_connexion/` are changed without the `legacy api` label"" and similarly for legacy UI, which explains the CI gating mechanism."
apache_airflow__42758,apache/airflow,human,check-routing-and-skip-logic,What breaks if legacy WWW files are not routed through their own test selection logic?,0,2,The text only mentions a new selective check and removing a path from a legacy API list; it does not say what breaks if legacy WWW files are not routed through their own test selection logic.,"The text explicitly says the legacy UI file group is used for ""run_www_tests"" and for ""skipping ts-compile-format-lint-www"" when unaffected, so not routing legacy WWW files through it would affect those checks."
apache_airflow__42761,apache/airflow,human,dag-execution-api-removal,Why must DAG execution avoid the removed DAG.run pathway?,2,1,"The text says DAG.run ""uses Backfill internally"" and that removing it is a step toward removing BackfillJobRunner, which explains why execution must avoid that pathway.","The text says there was ""a mix of code, tests, and documentation assuming `DAG.run()` was available"" and that the change ""removes outdated guidance and compatibility scaffolding,"" but it does not explain the execution mechanism behind avoiding the removed pathway."
apache_airflow__42761,apache/airflow,human,dag-testing-and-debugging-model,What execution model makes local DAG testing reliable without backfill semantics?,1,1,"It only says tests were changed to run on ""dag.test or scheduler,"" which hints at an execution model but does not explain why local DAG testing is reliable without backfill semantics.","It mentions ""supported DAG testing patterns"" and that tests were refactored to use ""the newer testing approach,"" but it never states the execution model that makes local DAG testing reliable without backfill semantics."
apache_airflow__42761,apache/airflow,human,scheduler-and-dagrun-behavior,Why do scheduler-managed DagRuns preserve correctness under the new DAG execution semantics?,1,1,"It only says tests were changed to run on scheduler, but gives no reason why scheduler-managed DagRuns stay correct under the new semantics.","It mentions 'added/updated scheduler and example DAG coverage around DAG runs created via the supported APIs,' but does not explain the correctness mechanism."
apache_airflow__42770,apache/airflow,human,resetdb-global-logging-restoration,Why must resetdb restore the original root logging level after execution?,0,2,"No mention of logging or restoring state; only says ""Added a unit test"".","It explicitly says to ""restore the original root logging level in the `finally` block"" so `resetdb()` does not leave global logging state modified."
apache_airflow__42770,apache/airflow,human,resetdb-exception-safe-cleanup,Why is finally-based cleanup required even when resetdb fails mid-operation?,0,2,"No mechanism is described; it only says ""Added a unit test"".","It explicitly says to ""restore the original root logging level in the `finally` block, regardless of whether reset/init succeeds""."
apache_airflow__42770,apache/airflow,human,resetdb-transactional-drop-sequencing,Why must resetdb perform drops under the migration lock and transaction?,0,0,"Nothing in the text addresses migration locks, transactions, or drops.","Nothing in the text addresses migration locks, transactions, or drops; it only says ""preserves the root logger level"" and ""restore the original root logging level""."
apache_airflow__42794,apache/airflow,human,provider-boundary-migration,Why must these hooks live under the standard provider namespace to remain discoverable and stable?,0,1,"The text only says ""Move Hooks to Standard provider"" and gives no reason about discoverability or stability.","It says the hooks were ""Registered ... in providers/src/airflow/providers/standard/provider.yaml"" and that this ""ensures the standard provider metadata and tests reflect the new locations,"" which hints at discoverability/stability but does not explicitly explain why."
apache_airflow__42794,apache/airflow,human,provider-registry-and-packaging,How does provider metadata registration make these relocated hooks available to Airflow features?,0,2,"The text only says ""Move Hooks to Standard provider"" and does not explain how metadata registration makes them available.","It explicitly says ""Registered the hooks in `providers/src/airflow/providers/standard/provider.yaml`"" and that this ""ensures the standard provider metadata"" reflects the new locations."
apache_airflow__42794,apache/airflow,human,compatibility-verification-surface,What failures appear first if tests and docs lag behind the hook relocation?,0,1,"No mention of failures, tests, docs, or hook relocation beyond the title ""Move Hooks to Standard provider"".","It explicitly says ""update imports, docs, and tests accordingly"" and ""Moved/added hook tests"" plus ""Updated documentation references,"" but it does not describe which failures would appear first."
apache_airflow__42865,apache/airflow,human,backfill-create-api-contract,Why must backfill creation use body deserialization instead of query parameters?,2,2,"It directly states the motivator: ""for compatibility with the requires_access_dag decorator, which doesn't check request body,"" so the body must be translated/deserialized rather than relying on query params.","It explicitly says the endpoint moved to a JSON request body so it can pass structured fields like ""dag_run_conf""; that explains why body deserialization is needed instead of query params."
apache_airflow__42865,apache/airflow,human,auth-decorator-request-binding,How does extracting dag_id into kwargs preserve authorization correctness?,2,1,"The text explicitly says the decorator translates the request body to kwargs ""for compatibility with the requires_access_dag decorator, which doesn't check request body,"" which directly answers the authorization-correctness mechanism.","The text says request-body handling ""remains compatible with requires_access_dag,"" but it does not explain how extracting dag_id into kwargs preserves authorization correctness."
apache_airflow__42865,apache/airflow,human,backfill-payload-propagation,Why must dag_run_conf propagate unchanged into every created dag run?,1,2,"It mentions adding ""a decorator to translate the request body to the kwargs"" and compatibility with ""requires_access_dag,"" but does not explain why dag_run_conf must stay unchanged in each created dag run.","It says the tests verify that ""dag_run_conf is propagated to generated DAG runs"" and that this allows passing structured fields like ""dag_run_conf"" in the request payload."
apache_airflow__43005,apache/airflow,human,offline-schema-source,Why must schema validation depend on a local spec file instead of a remote URL?,2,2,"The text says the schema is kept locally ""to avoid this error"" because fetching it during CI ""sometimes it fails with 403 error,"" which explains why a local file is needed instead of a remote URL.","The text explicitly says it switches from ""fetching the Draft 7 meta-schema over the network"" to a ""checked-in local copy"" so linting is ""independent of external network access"" and avoids a ""remote URL during pre-commit runs."""
apache_airflow__43005,apache/airflow,human,meta-schema-fidelity,Why does matching the canonical draft-07 meta-schema exactly prevent broken schema lint results?,0,1,The text only says it avoids a 403 error by using a local draft7 schema file; it does not explain why exact canonical matching prevents broken lint results.,"The text says it uses a checked-in local copy and switches from `--spec-url` to `--spec-file`, but it only explains network independence, not why exact canonical matching prevents broken schema lint results."
apache_airflow__43005,apache/airflow,human,pre-commit-validation-contract,Why is keeping the hook interface unchanged critical when replacing the schema source?,0,0,The text only says the local file is added to avoid a 403 error; it does not mention keeping the hook interface unchanged.,"It explicitly says to ""pass `--spec-file` instead of `--spec-url`"" and explains the goal is to use a checked-in local copy, so it does not support the hook interface staying unchanged."
apache_airflow__43159,apache/airflow,human,public-provider-api-contract,Why must provider listing use this exact paginated public response contract?,0,2,"The text only says ""AIP-84 Get Providers"" and gives no reason for the exact paginated public response contract.","It explicitly says the endpoint supports pagination parameters ""limit"" and ""offset"" and returns a collection response containing ""providers"" and ""total_entries"", which explains the contract."
apache_airflow__43159,apache/airflow,human,provider-serialization-boundary,What mapping boundary keeps internal provider metadata safe to expose externally?,0,0,"No mention of any mapping boundary or metadata exposure; only the title ""AIP-84 Get Providers"" appears.","It describes a ""public FastAPI route for `GET /public/providers/`"" and provider fields, but does not state any boundary that keeps internal provider metadata safe to expose externally."
apache_airflow__43159,apache/airflow,human,migration-parity-and-cutover,What breaks if FastAPI provider behavior diverges from the legacy endpoint?,0,0,No mention of any consequence if FastAPI behavior diverges from the legacy endpoint.,"It says the FastAPI endpoint is added and the legacy endpoint is migrated, but it does not state what breaks if their behaviors diverge."
apache_airflow__43159,apache/airflow,human,generated-ui-client-integration,Why is generated client code required instead of hand-written provider fetch logic?,0,2,"No mention of generated client code or hand-written fetch logic; only the phrase ""AIP-84 Get Providers"" appears.","It explicitly says ""wire it through the generated API/UI client layers"" and ""Regenerated UI request/query client code,"" which explains why generated client code is used."
apache_airflow__43223,apache/airflow,human,public-pools-list-endpoint,"Why must pool listing use paginated_select with limit, offset, and orderBy semantics?",0,2,"Absent: the text only says ""AIP-84 Get Pools"" and gives no reason for paginated_select or its semantics.","Explicit: it says the route was ""switched ... to use paginated selects for collection responses"" and added ""limit"", ""offset"", and ""orderBy"" support."
apache_airflow__43223,apache/airflow,human,api-schema-and-serialization-contract,Why does the pool serializer need separate validation and serialization aliases for the name field?,0,2,No mention of validation or serialization aliases for the name field.,"It says the field accepts input via ""validation_alias=\""pool\"""" while still serializing as ""name"", which explains the separate aliases."
apache_airflow__43223,apache/airflow,human,generated-ui-client-integration,Why is generating typed client hooks from OpenAPI essential for this endpoint to remain usable?,0,2,"No mechanism is described beyond the title phrase ""Get Pools"".","It explicitly says the endpoint was wired through ""the generated OpenAPI/UI client layers"" and regenerated ""query hooks"" so the frontend can use `PoolService.getPools` and related React Query helpers."
apache_airflow__43669,apache/airflow,human,iam-auth-routing,How does the hook choose the correct IAM credential API for each Postgres-compatible target?,0,2,"The text only says ""Add AWS Redshift Serverless support to PostgresHook"" and does not explain how any IAM credential API is chosen.","It explicitly says ""Added support for `redshift-serverless`"" and ""Uses the AWS `redshift-serverless` client and `get_credentials()`"" to fetch credentials, which explains the API choice mechanism."
apache_airflow__43669,apache/airflow,human,serverless-connection-identity,Why is workgroup resolution from extras or host sufficient for Serverless authentication?,0,2,"The text only says ""add AWS Redshift Serverless support to PostgresHook"" and gives no mechanism for why workgroup resolution is sufficient.","The text explicitly says ""If `workgroup-name` is not provided, the hook now derives it from the first segment of the host name"" and that tests cover resolution from ""the host prefix"" or the ""`workgroup-name` extra override""."
apache_airflow__43669,apache/airflow,human,provider-dependency-failure-mode,Why must missing AWS provider support raise an optional-feature exception instead of a generic one?,1,2,"The phrase ""exception types and doc strings"" only hints at error handling, but it does not say why an optional-feature exception is needed instead of a generic one.","The text explicitly says ""Updated optional dependency error handling to raise `AirflowOptionalProviderFeatureException` instead of `AirflowException`"", which directly answers the exception-type change."
apache_airflow__44287,apache/airflow,human,ruff-upgrade-and-rule-namespace-migration,Why must Ruff version and rule-code namespaces stay aligned across all tooling entrypoints?,0,2,"It only says ""Bump Ruff to 0.8.0"" and gives no reason about aligned namespaces or entrypoints.","The text says to keep linting consistent with Ruff 0.8.0 and that rule references were renamed from ""TCH*"" to ""TC*"" across configuration and inline comments."
apache_airflow__44287,apache/airflow,human,lint-configuration-exceptions-and-file-scoped-overrides,What breaks if these file-specific Ruff ignores are removed or renamed incorrectly?,0,1,"It only says ""Bump Ruff to 0.8.0"" and gives no information about file-specific ignores or any breakage from removing or renaming them.","The text says Ruff rule references were renamed from ""TCH*"" to ""TC*"" across configuration, including ""One config entry under `tests/api_fastapi/*`"", but it does not explain what breaks if those ignores are removed or renamed incorrectly."
apache_airflow__44287,apache/airflow,human,runtime-import-and-annotation-safety,Why do these imports need runtime availability instead of living only in TYPE_CHECKING blocks?,0,0,No mention of imports or TYPE_CHECKING blocks appears in the text.,The text only says it is a tooling/configuration update and that code changes were made to satisfy renamed lint rules; it does not explain why the imports must be runtime-available.
apache_airflow__44287,apache/airflow,human,console-file-open-mode-compatibility,Why is opening output files with a+ safer than a+t here?,0,0,"No mention of output file modes or any safety rationale appears in ""Bump Ruff to 0.8.0"".","The text only says it was changed from ""a+t"" to ""a+"" and gives no reason why that is safer."
